group,l0,b0,plx,e_plx,pml,e_pml,pmb,e_pmb,n,nG,flag
G257.2-0.0,257.257550227273,-0.0505987272727273,0.231402009702938,0.05136443262794968,-4.41895953851553,0.12331336109505792,0.0201844166996062,0.08972776734309824,62,22," "
G259.9-0.0,259.9362520625,-0.0253715,1.04590742289847,0.04213278155344092,-6.12894585378143,0.08252712961989582,-2.77773432494575,0.08625597190113553,68,42," "
G260.6+0.4,260.604614654676,0.48517390647482,1.04394257793881,0.0428995279898057,-5.81710568156328,0.07575835151955729,-2.20809329351431,0.07995206359132583,197,83," "
G261.4+0.3,261.418010892857,0.30209525,0.624941004989567,0.05950262811836283,-6.85399499034429,0.10023361481759215,-1.51099721524509,0.12058356025497154,40,14," "
G261.4+0.9,261.494861646552,0.918232655172414,1.01560060348818,0.040984627963613136,-6.74965432504735,0.07467525487031317,-1.97190024883581,0.07394876309823993,164,108," "
G262.4+1.4,262.430271985916,1.45386902816901,1.01209340417808,0.04085085668936202,-6.57175987013305,0.08015979149371916,-1.81706850818565,0.07345516409553172,101,66," "
G262.8+0.2,262.88061644,0.27687548,0.0697275034258292,0.05288057242253124,-6.56239685820282,0.6010898474977322,0.210822131366903,0.7500387557671818,33,6," "
G263.1+0.5,263.134758181818,0.580778272727273,0.387749221481058,0.07424397078175428,-6.29961135857146,0.09750438889238741,-1.42587494499023,0.10206216808913421,62,21," "
G263.6+0.9,263.628440107692,0.908117138461539,0.393694184389924,0.07330396208755102,-6.89191555896289,0.10776080946306832,-1.34953568229227,0.10681458009205799,91,26," "
G263.7+0.4,263.700206592593,0.431178,0.331962743218717,0.08266063737653262,-7.02378890882986,0.13883315010103423,-1.18710996871225,0.13222302125593458,37,8," "
G263.7+0.0,263.736182165049,0.0632474077669903,0.313361754431927,0.07095197853220897,-7.16670171792393,0.131276027181929,-1.0096391089193,0.10786298431189241,147,27," "
G263.7-0.4,263.77225528,-0.4263308,0.0941489590673371,0.07776349174151102,-6.88028153706658,0.4031329574341935,-1.40395826734602,0.45552845619573046,35,3,f
G264.3+1.4,264.33747556,1.46321172,0.497752101871314,0.08749591385020052,-6.72198912138758,0.22074299341934492,-0.980193260060951,0.08656683740957911,33,19," "
G264.5-0.2,264.536130075758,-0.258722651515152,0.37653482392181,0.050619409695107864,-7.01552797083382,0.12313903835032872,-0.43328116440277,0.11059780248180029,92,28," "
