angDist,Sample_1,Object,OName,RAJ2000_1,DEJ2000_1,ObsDate,_tab1_7,TexpUVB,TexpVIS,TexpNIR,Lupus,Notes_1,n_Object,FHa,e_FHa,EWHa,e_EWHa,FHb,e_FHb,EWHb,e_EWHb,FHg,e_FHg,EWHg,e_EWHg,FHd,e_FHd,EWHd,e_EWHd,l_FHe,FHe,e_FHe,EWHe,e_EWHe,ra,dec,_RAJ2000,_DEJ2000,Region,CName,RAJ2000_2,DEJ2000_2,alpha,OType,FJ,FH,FKs,FIR1,FIR2,FIR3,FIR4,FMP1,FMP2,Sample_2,SpType,Teff,e_Teff,AV,Dist,logL_,e_logL_,R_,e_R_,l_M__B98_,M__B98_,e_M__B98_,l_M__B15_,M__B15_,e_M__B15_,M__DM97_,e_M__DM97_,l_M__DM97_,M__S00_,e_M__S00_,Notes_2,Template,l_logLacc,logLacc,l_logdMacc_dt_B98_,logdMacc_dt_B98_,l_logdMacc_dt_B15_,logdMacc_dt_B15_,l_logdMacc_dt_DM98_,logdMacc_dt_DM98_,l_logdMacc_dt_S00_,logdMacc_dt_S00_,Note,SimbadName
0.039546,,2MASS J16081497-3857145,,16 08 14.96,-38 57 14.5,2015-04-20,2457132.335763,4x900,4x850,4x960,III,,,1.26e-14,4e-16,-8.882,1.47,3.73e-15,3.3e-16,-8.207,2.71,2.34e-15,2.7e-16,-6.399,0.475,1.77e-15,2.3e-16,-3.236,0.521,,9.63e-16,1.87e-16,-2.138,0.251,242.0623333333333,-38.95402777777778,242.062347,-38.954025,LUP_III,J160815.0-385714,242.062347,-38.954025,-0.71,YSOc,1.31,2.0,3.72,4.55,5.35,5.78,5.8,7.88,,N,M5.5,3060,71,1.50,200,0.0087,0.0047,0.33,0.09,,0.09,0.02,,0.10,0.03,0.12,0.03,,0.10,0.02,,SO925,,-3.4,,-10.23,,-10.27,,-10.35,,-10.27,,2MASS J16081497-3857145
0.039546,,2MASS J16081497-3857145,,16 08 14.96,-38 57 14.5,2015-04-20,2457132.335763,4x900,4x850,4x960,III,,,1.26e-14,4e-16,-8.882,1.47,3.73e-15,3.3e-16,-8.207,2.71,2.34e-15,2.7e-16,-6.399,0.475,1.77e-15,2.3e-16,-3.236,0.521,,9.63e-16,1.87e-16,-2.138,0.251,242.0623333333333,-38.95402777777778,242.062347,-38.954025,LUP_III,J160815.0-385714,242.062347,-38.954025,-0.71,YSOc,1.31,2.0,3.72,4.55,5.35,5.78,5.8,7.88,,N,M5.5,3060,71,1.50,200,0.0087,0.0047,0.33,0.09,,0.09,0.02,,0.10,0.03,0.12,0.03,,0.10,0.02,,SO925,,-3.4,,-10.23,,-10.27,,-10.35,,-10.27,,2MASS J16081497-3857145
0.039546,,2MASS J16081497-3857145,,16 08 14.96,-38 57 14.5,2015-04-20,2457132.335763,4x900,4x850,4x960,III,,,1.26e-14,4e-16,-8.882,1.47,3.73e-15,3.3e-16,-8.207,2.71,2.34e-15,2.7e-16,-6.399,0.475,1.77e-15,2.3e-16,-3.236,0.521,,9.63e-16,1.87e-16,-2.138,0.251,242.0623333333333,-38.95402777777778,242.062347,-38.954025,LUP_III,J160815.0-385714,242.062347,-38.954025,-0.71,YSOc,1.31,2.0,3.72,4.55,5.35,5.78,5.8,7.88,,N,M5.5,3060,71,1.50,200,0.0087,0.0047,0.33,0.09,,0.09,0.02,,0.10,0.03,0.12,0.03,,0.10,0.02,,SO925,,-3.4,,-10.23,,-10.27,,-10.35,,-10.27,,2MASS J16081497-3857145
0.038583,,2MASS J16085324-3914401,,16 08 53.23,-39 14 40.3,2015-07-12,2457215.136035,2x450,2x400,2x480,III,,,4.87e-14,2.8e-15,-0.849,0.094,9.61e-15,1.78e-15,-0.545,0.207,5.92e-15,1.64e-15,-0.53,0.185,4.69e-15,1.68e-15,-0.622,0.279,,5.71e-15,1.94e-15,-1.616,0.43,242.22179166666663,-39.244527777777776,242.221786,-39.244518,LUP_III,J160853.2-391440,242.221786,-39.244518,-1.14,YSOc_star+dust(IR3),47.0,79.0,80.2,57.1,46.7,43.7,45.5,54.9,119.0,N,M3,3415,79,1.90,200,0.3020,0.1477,1.57,0.38,,0.42,0.08,,0.29,0.04,0.24,0.05,,0.32,0.04,,TWA15,,-3.1,,-9.92,,-9.76,,-9.68,,-9.80,,2MASS J16085324-3914401
0.038583,,2MASS J16085324-3914401,,16 08 53.23,-39 14 40.3,2015-07-12,2457215.136035,2x450,2x400,2x480,III,,,4.87e-14,2.8e-15,-0.849,0.094,9.61e-15,1.78e-15,-0.545,0.207,5.92e-15,1.64e-15,-0.53,0.185,4.69e-15,1.68e-15,-0.622,0.279,,5.71e-15,1.94e-15,-1.616,0.43,242.22179166666663,-39.244527777777776,242.221786,-39.244518,LUP_III,J160853.2-391440,242.221786,-39.244518,-1.14,YSOc_star+dust(IR3),47.0,79.0,80.2,57.1,46.7,43.7,45.5,54.9,119.0,N,M3,3415,79,1.90,200,0.3020,0.1477,1.57,0.38,,0.42,0.08,,0.29,0.04,0.24,0.05,,0.32,0.04,,TWA15,,-3.1,,-9.92,,-9.76,,-9.68,,-9.80,,2MASS J16085324-3914401
0.038583,,2MASS J16085324-3914401,,16 08 53.23,-39 14 40.3,2015-07-12,2457215.136035,2x450,2x400,2x480,III,,,4.87e-14,2.8e-15,-0.849,0.094,9.61e-15,1.78e-15,-0.545,0.207,5.92e-15,1.64e-15,-0.53,0.185,4.69e-15,1.68e-15,-0.622,0.279,,5.71e-15,1.94e-15,-1.616,0.43,242.22179166666663,-39.244527777777776,242.221786,-39.244518,LUP_III,J160853.2-391440,242.221786,-39.244518,-1.14,YSOc_star+dust(IR3),47.0,79.0,80.2,57.1,46.7,43.7,45.5,54.9,119.0,N,M3,3415,79,1.90,200,0.3020,0.1477,1.57,0.38,,0.42,0.08,,0.29,0.04,0.24,0.05,,0.32,0.04,,TWA15,,-3.1,,-9.92,,-9.76,,-9.68,,-9.80,,2MASS J16085324-3914401
0.138815,,2MASS J16085373-3914367,,16 08 53.73,-39 14 36.7,2015-05-23,2457165.287007,4x900,4x850,4x960,III,1,+,6.72e-15,1.14e-15,-5.954,1.5,,,,,,,,,,,,,,,,,,242.223875,-39.24352777777778,242.223862,-39.243565,LUP_III,J160853.7-391437,242.223862,-39.243565,-1.22,YSOc_star+dust(IR2),1.64,4.0,6.56,7.3,6.52,5.79,5.07,5.9,0.0,N,M5.5,3060,71,4.00,200,0.0066,0.0028,0.29,0.06,,0.09,0.02,,0.10,0.03,0.12,0.03,,0.10,0.02,,---,,-3.7,,-10.58,,-10.63,,-10.71,,-10.63,b,2MASS J16085373-3914367
0.138815,,2MASS J16085373-3914367,,16 08 53.73,-39 14 36.7,2015-05-23,2457165.287007,4x900,4x850,4x960,III,1,+,6.72e-15,1.14e-15,-5.954,1.5,,,,,,,,,,,,,,,,,,242.223875,-39.24352777777778,242.223862,-39.243565,LUP_III,J160853.7-391437,242.223862,-39.243565,-1.22,YSOc_star+dust(IR2),1.64,4.0,6.56,7.3,6.52,5.79,5.07,5.9,0.0,N,M5.5,3060,71,4.00,200,0.0066,0.0028,0.29,0.06,,0.09,0.02,,0.10,0.03,0.12,0.03,,0.10,0.02,,---,,-3.7,,-10.58,,-10.63,,-10.71,,-10.63,b,2MASS J16085373-3914367
0.138815,,2MASS J16085373-3914367,,16 08 53.73,-39 14 36.7,2015-05-23,2457165.287007,4x900,4x850,4x960,III,1,+,6.72e-15,1.14e-15,-5.954,1.5,,,,,,,,,,,,,,,,,,242.223875,-39.24352777777778,242.223862,-39.243565,LUP_III,J160853.7-391437,242.223862,-39.243565,-1.22,YSOc_star+dust(IR2),1.64,4.0,6.56,7.3,6.52,5.79,5.07,5.9,0.0,N,M5.5,3060,71,4.00,200,0.0066,0.0028,0.29,0.06,,0.09,0.02,,0.10,0.03,0.12,0.03,,0.10,0.02,,---,,-3.7,,-10.58,,-10.63,,-10.71,,-10.63,b,2MASS J16085373-3914367
0.16856,,2MASS J16085529-3848481,,16 08 55.29,-38 48 48.1,2015-07-12,2457215.156936,2x900,2x850,2x960,III,,,1.06e-14,3e-16,-5.492,0.787,1.37e-15,6e-17,-5.29,1.89,8.13e-16,5.7e-17,-7.743,1.3,5.72e-16,5.4e-17,-6.463,1.07,,5.94e-16,4.2e-17,-5.824,1.97,242.23037499999992,-38.81336111111111,242.230331,-38.813393,LUP_III,J160855.3-384848,242.230331,-38.813393,-1.14,YSOc_star+dust(IR2),10.2,11.0,10.4,7.6,7.76,5.85,6.97,7.05,,N,M6.5,2935,68,0.00,200,0.0759,0.0414,1.07,0.29,,0.11,0.02,,0.11,0.02,0.12,0.02,,0.10,0.02,,Par-Lup3-1,,-4.1,,-10.51,,-10.51,,-10.54,,-10.46,,2MASS J16085529-3848481
