Sample,Object,SpType,Teff,e_Teff,AV,Dist,logL_,e_logL_,R_,e_R_,l_M__B98_,M__B98_,e_M__B98_,l_M__B15_,M__B15_,e_M__B15_,M__DM97_,e_M__DM97_,l_M__DM97_,M__S00_,e_M__S00_,Notes,Template,l_logLacc,logLacc,l_logdMacc_dt_B98_,logdMacc_dt_B98_,l_logdMacc_dt_B15_,logdMacc_dt_B15_,l_logdMacc_dt_DM98_,logdMacc_dt_DM98_,l_logdMacc_dt_S00_,logdMacc_dt_S00_,Note,SimbadName
G,Sz66,M3,3415,79,1.00,150,0.2000,0.0920,1.29,0.30,,0.38,0.07,,0.29,0.05,0.25,0.05,,0.31,0.04,,SO797,,-1.8,,-8.66,,-8.54,,-8.48,,-8.57,,Sz66
G,AKC2006-19,M5,3125,72,0.00,150,0.0160,0.0080,0.44,0.10,,0.12,0.03,,0.14,0.03,0.16,0.03,,0.12,0.03,,SO641,,-4.1,,-10.93,,-11.00,,-11.05,,-10.93,,[AKC2006] 19
G,Sz69,M4.5,3197,74,0.00,150,0.0880,0.0410,0.97,0.22,,0.22,0.05,,0.20,0.04,0.18,0.03,,0.19,0.03,,SO797,,-2.8,,-9.55,,-9.51,,-9.46,,-9.48,,Sz69
G,Sz71,M1.5,3632,167,0.50,150,0.3090,0.1420,1.43,0.33,,0.64,0.17,,0.42,0.12,0.38,0.12,,0.42,0.11,,TWA15A,,-2.2,,-9.24,,-9.06,,-9.02,,-9.06,,Sz71
G,Sz72,M2,3560,164,0.75,150,0.2520,0.1160,1.29,0.30,,0.54,0.16,,0.37,0.12,0.34,0.12,,0.38,0.09,,TWA9B,,-1.8,,-8.81,,-8.65,,-8.61,,-8.66,,Sz72
G,Sz73,K7,4060,187,3.50,150,0.4190,0.1930,1.35,0.31,,1.02,0.14,,0.79,0.15,0.62,0.14,,0.82,0.16,,SO879,,-1.0,,-8.27,,-8.16,,-8.06,,-8.18,,Sz73
G,Sz74,M3.5,3342,77,1.50,150,1.0430,0.4800,3.13,0.72,,0.50,0.12,,0.30,0.04,0.17,0.03,,0.29,0.03,,TWA15A,,-1.5,,-8.10,,-7.87,,-7.63,,-7.86,,Sz74
G,Sz83,K7,4060,187,0.00,150,1.3130,0.6050,2.39,0.55,,1.21,0.16,,0.67,0.16,0.43,0.13,,0.75,0.19,,SO879,,-0.3,,-7.40,,-7.14,,-6.95,,-7.19,,Sz83
G,Sz84,M5,3125,72,0.00,150,0.1220,0.0560,1.21,0.28,,0.18,0.04,,0.16,0.03,0.16,0.02,,0.18,0.03,td,SO641,,-2.7,,-9.27,,-9.21,,-9.21,,-9.27,,Sz84
G,Sz130,M2,3560,164,0.00,150,0.1600,0.0740,1.03,0.24,,0.51,0.15,,0.41,0.12,0.35,0.13,,0.37,0.09,,TWA2A,,-2.2,,-9.29,,-9.19,,-9.12,,-9.15,,Sz130
G,Sz88A,M0,3850,177,0.25,200,0.4880,0.2250,1.61,0.37,,0.94,0.16,,0.56,0.14,0.46,0.13,,0.57,0.15,,TWA25,,-1.2,,-8.36,,-8.13,,-8.05,,-8.14,,Name Sz 88A
