Object,n_Object,FHa,e_FHa,EWHa,e_EWHa,FHb,e_FHb,EWHb,e_EWHb,FHg,e_FHg,EWHg,e_EWHg,FHd,e_FHd,EWHd,e_EWHd,l_FHe,FHe,e_FHe,EWHe,e_EWHe
Sz65,,2.55e-13,2.2e-14,-0.348,0.041,2.87e-14,1.47e-14,-0.066,0.022,,,,,1.45e-14,8.5e-15,-0.088,0.035,,1.38e-14,2.7e-15,-0.207,0.083
AKC2006-18,,2.05e-15,1e-16,-4.280,0.816,6.65e-16,6e-17,-7.174,2.670,3.87e-16,3.1e-17,-4.143,1.450,3.65e-16,5.7e-17,-7.620,3.600,,2.22e-16,5.9e-17,-2.517,1.259
SSTc2dJ154508.9-341734,,6.11e-13,1.2e-14,-20.445,3.080,9.52e-14,1.22e-14,-6.407,1.800,4.62e-14,1.24e-14,-2.477,0.867,3.08e-14,1.05e-14,-4.200,1.680,<,1.78e-14,,,
Sz68,,5.06e-12,2e-13,-0.670,0.039,,,,,,,,,,,,,,,,,
SSTc2dJ154518.5-342125,,5.42e-14,3e-16,-27.795,2.570,4.78e-15,1.6e-16,-19.431,2.750,1.9e-15,8e-17,-15.574,2.500,1.07e-15,7e-17,-7.643,3.100,,7.48e-16,1.16e-16,-6.448,3.224
Sz81A (SW),,3.31e-13,8e-15,-5.313,0.649,3.39e-14,1.4e-15,-2.306,0.439,1.32e-14,1e-15,-1.189,0.260,7.78e-15,8.5e-16,-0.923,0.242,,6.02e-15,1.52e-15,-1.049,0.580
Sz81B (NE),,3.4e-14,2.2e-15,-1.498,0.219,7.05e-15,6.3e-16,-1.460,0.412,4.16e-15,3e-16,-1.072,0.241,3.06e-15,3.6e-16,-1.062,0.368,,2.3e-15,6.3e-16,-1.447,0.723
Sz129,,1.13e-12,3e-14,-2.511,0.204,5.07e-13,4.2e-14,-1.598,0.284,4.14e-13,3.9e-14,-1.638,0.328,3.54e-13,3.2e-14,-1.671,0.294,,2.38e-13,1.9e-14,-1.386,0.195
SSTc2dJ155925.2-423507,,4.28e-15,3.8e-16,-0.998,0.235,9.92e-16,8.4e-17,-1.094,0.308,6.2e-16,1.11e-16,-1.968,0.688,3.93e-16,7.1e-17,-1.224,0.490,,2.74e-16,4.4e-17,-1.377,0.688
RY Lup,,2.26e-12,7e-14,-0.939,0.044,3.41e-13,3.7e-14,-0.157,0.019,,,,,,,,,,,,,
SSTc2dJ160000.6-422158,,1.96e-14,1.8e-15,-0.956,0.154,6.43e-15,1.11e-15,-1.086,0.363,4.16e-15,5e-16,-1.027,0.310,4.07e-15,7.5e-16,-1.433,0.620,,2.59e-15,4.8e-16,-1.032,0.483
SSTc2dJ160002.4-422216,,1.09e-13,1e-14,-1.974,0.374,2.64e-14,6.6e-15,-1.334,0.312,2.28e-14,6e-15,-1.996,0.698,1.78e-14,3.9e-15,-1.692,0.667,,2.14e-14,3e-15,-4.727,2.410
