Object,n_Object,l_FH12,FH12,e_FH12,EWH12,e_EWH12,l_FH13,FH13,e_FH13,EWH13,e_EWH13,l_FH14,FH14,e_FH14,EWH14,e_EWH14,l_FH15,FH15,e_FH15,EWH15,e_EWH15
Sz65,,,,,,,<,2.83e-15,,,,<,3.71e-15,,,,<,3.68e-15,,,
AKC2006-18,,,5.91e-17,2.06e-17,-1.101,0.440,,2.73e-17,1.63e-17,-0.570,0.228,,1.64e-17,1.24e-17,-0.177,0.106,,2e-17,1.12e-17,-0.418,0.251
SSTc2dJ154508.9-341734,,,,,,,,,,,,,,,,,,,,,
Sz68,,,,,,,,,,,,,,,,,,,,,
SSTc2dJ154518.5-342125,,,2.26e-16,3.22e-16,-1.569,0.628,,1.99e-16,6.9e-17,-1.244,0.498,,1.62e-16,6.7e-17,-1.543,0.926,,1.28e-16,1.2e-17,-1.255,0.753
Sz81A (SW),,,2.27e-15,4.7e-16,-0.880,0.352,,1.57e-15,2.6e-16,-0.553,0.268,,1.42e-15,3.3e-16,-0.640,0.373,,1.2e-15,4.8e-16,-0.417,0.250
Sz81B (NE),,,7.84e-16,2.68e-16,-0.769,0.307,,6.1e-16,1.86e-16,-0.545,0.218,,4.17e-16,2.11e-16,-0.471,0.282,,3.74e-16,2.11e-16,-0.380,0.228
Sz129,,,1.05e-13,1.6e-14,-0.630,0.145,,7.98e-14,1.29e-14,-0.454,0.102,,5.6e-14,3.5e-15,-0.328,0.029,,3.62e-14,8.3e-15,-0.191,0.056
SSTc2dJ155925.2-423507,,,1.2e-16,4.4e-17,-1.430,0.572,<,1.3e-16,,,,<,1.4e-16,,,,<,1.4e-16,,,
RY Lup,,,,,,,,,,,,,,,,,,,,,
SSTc2dJ160000.6-422158,,,1.09e-15,3e-16,-0.801,0.321,,6.52e-16,2.49e-16,-0.435,0.174,,5.87e-16,2.09e-16,-0.425,0.283,,6.51e-16,1.5e-16,-0.407,0.164
SSTc2dJ160002.4-422216,,,7.77e-15,2.42e-15,-2.496,0.998,,4.31e-15,2.1e-15,-1.107,0.443,<,5.39e-15,,,,<,4.77e-15,,,
SSTc2dJ160026.1-415356,,,1.05e-15,4.4e-16,-0.984,0.420,,5.94e-16,2.79e-16,-0.369,0.120,<,1.2e-15,,,,<,1.02e-15,,,
MY Lup,,,,,,,,,,,,,,,,,,,,,
Sz131,,,4.9e-15,1.27e-15,-0.430,0.204,,3.63e-15,1.21e-15,-0.308,0.123,,2.67e-15,1.35e-15,-0.216,0.130,<,2.54e-15,,,
Sz133,,,1.58e-14,3e-15,-0.813,0.304,,1.12e-14,2.1e-15,-0.485,0.164,,1.45e-14,3.9e-15,-0.721,0.362,,1.42e-14,3.8e-15,-0.772,0.486
SSTc2dJ160703.9-391112,,<,6.47e-17,,,,<,6.73e-17,,,,<,7.82e-17,,,,<,7.11e-17,,,
