Object,n_Object,l_FPa9,FPa9,e_FPa9,EWPa9,e_EWPa9,l_FPa10,FPa10,e_FPa10,EWPa10,e_EWPa10,l_FBrg,FBrg,e_FBrg,EWBrg,e_EWBrg
Sz65,,<,2.81e-14,,,,<,2.62e-14,,,,<,8.23e-15,,,
AKC2006-18,,<,1.58e-16,,,,<,1.6e-16,,,,<,1.58e-16,,,
SSTc2dJ154508.9-341734,,,1.46e-14,8e-16,-0.193,0.013,,1.11e-14,1.3e-15,-0.171,0.026,,1.64e-14,1.7e-15,-0.198,0.022
Sz68,,<,6.06e-14,,,,<,8.83e-14,,,,<,6.78e-14,,,
SSTc2dJ154518.5-342125,,<,1.8e-15,,,,,2.47e-15,4.5e-16,-0.096,0.020,<,6.6e-16,,,
Sz81A (SW),,<,5.66e-15,,,,,1.28e-14,4.5e-15,-0.072,0.026,,4.47e-15,1.53e-15,-0.082,0.021
Sz81B (NE),,<,3.02e-15,,,,,7.34e-15,2.19e-15,-0.074,0.023,<,1.67e-15,,,
Sz129,,,4.56e-14,1.34e-14,-0.100,0.031,,2.77e-14,1.03e-14,-0.067,0.024,,1.62e-14,4.7e-15,-0.122,0.037
SSTc2dJ155925.2-423507,,<,6e-16,,,,,7.83e-16,1.09e-16,-0.043,0.007,<,2.88e-16,,,
RY Lup,,,1.05e-13,1.3e-14,-0.053,0.007,<,5.81e-14,,,,,5.05e-14,7.1e-15,-0.052,0.007
SSTc2dJ160000.6-422158,,<,1.74e-15,,,,<,2.69e-15,,,,<,1.5e-15,,,
SSTc2dJ160002.4-422216,,,6.43e-15,1.4e-15,-0.049,0.011,,6.21e-15,2.32e-15,-0.048,0.018,,3.86e-15,9.5e-16,-0.114,0.029
SSTc2dJ160026.1-415356,,,2.97e-15,6.8e-16,-0.046,0.011,,2.37e-15,6e-16,-0.041,0.011,<,1.43e-15,,,
MY Lup,,,4.7e-14,1.26e-14,-0.061,0.017,<,1.85e-14,,,,<,1.74e-14,,,
Sz131,,<,2.98e-15,,,,,1.1e-14,1.1e-15,-0.109,0.004,<,2.74e-15,,,
Sz133,,,2.26e-14,3.6e-15,-0.240,0.043,,9.83e-15,2.19e-15,-0.116,0.029,,3.97e-14,4.8e-15,-0.316,0.041
SSTc2dJ160703.9-391112,,<,5.5e-17,,,,<,1.26e-16,,,,<,9.57e-17,,,
