Sample,Object,OName,RAJ2000,DEJ2000,ObsDate,JD,TexpUVB,TexpVIS,TexpNIR,Lupus,Notes
,Sz65,,15 39 27.78,-34 46 17.4,2015-06-04,2457177.017838,2x150,2x100,2x150,I,
,AKC2006-18,,15 41 40.82,-33 45 19.0,2015-04-20,2457132.269751,4x900,4x850,4x960,I,
,SSTc2dJ154508.9-341734,,15 45 08.88,-34 17 33.7,2015-06-15,2457188.149771,2x900,2x850,2x960,I,
,Sz68,,15 45 12.87,-34 17 30.8,2015-05-18,2457160.210844,2x100,2x60,2x50,I,
,SSTc2dJ154518.5-342125,,15 45 18.53,-34 21 24.8,2015-06-25,2457198.978850,2x900,2x850,2x960,I,
,Sz81A (SW),,15 55 50.21,-38 01 34.0,2015-08-19,2457253.072870,2x300,2x250,2x300,II,
,Sz81B (NE),,15 55 50.26,-38 01 32.2,2015-08-19,2457253.072870,2x300,2x250,2x300,II,
,Sz129,,15 59 16.48,-41 57 10.3,2015-06-26,2457199.059343,2x100,2x50,2x100,IV,
,SSTc2dJ155925.2-423507,,15 59 25.24,-42 35 07.1,2015-06-27,2457200.014418,2x900,2x850,2x960,IV,
,RY Lup,,15 59 28.39,-40 21 51.3,2015-07-02,2457205.275027,2x100,2x50,2x100,IV,
,SSTc2dJ160000.6-422158,,16 00 00.62,-42 21 57.5,2015-04-03,2457115.345055,2x450,2x400,2x480,IV,
,SSTc2dJ160002.4-422216,,16 00 02.37,-42 22 15.5,2015-07-01,2457204.165952,2x450,2x400,2x960,IV,
,SSTc2dJ160026.1-415356,,16 00 26.13,-41 53 55.6,2015-06-28,2457201.007970,2x900,2x850,2x960,IV,
,MY Lup,,16 00 44.53,-41 55 31.2,2015-06-26,2457199.070898,2x150,2x100,2x150,IV,
,Sz131,,16 00 49.42,-41 30 04.1,2015-07-01,2457204.221691,2x450,2x400,2x960,IV,
,Sz133,,16 03 29.41,-41 40 02.7,2015-07-02,2457205.191567,2x900,2x850,2x960,IV,
,SSTc2dJ160703.9-391112,,16 07 03.84,-39 11 11.3,2016-06-02,2457542.198741,4x960,4x910,4x480,III,
,SSTc2dJ160708.6-391408,,16 07 08.55,-39 14 07.7,,,,,,,
,Sz90,,16 07 10.08,-39 11 03.5,2015-07-12,2457215.095862,2x360,2x310,2x360,III,
,Sz95,,16 07 52.32,-38 58 06.3,2015-07-12,2457215.118419,2x360,2x310,2x360,III,
,Sz96,,16 08 12.62,-39 08 33.5,2015-07-03,2457206.270061,2x360,2x310,2x360,III,
,2MASS J16081497-3857145,,16 08 14.96,-38 57 14.5,2015-04-20,2457132.335763,4x900,4x850,4x960,III,
,Sz98,,16 08 22.50,-39 04 46.0,2015-07-02,2457205.132662,2x150,2x100,2x150,III,
,Lup607,,16 08 28.10,-39 13 10.0,2015-05-23,2457165.214447,4x900,4x850,4x960,III,
,Sz102,,16 08 29.73,-39 03 11.0,2015-04-17,2457129.298225,2x1200,2x1260,2x1200,III,
,SSTc2dJ160830.7-382827,,16 08 30.70,-38 28 26.8,2015-07-02,2457205.155128,2x150,2x100,2x150,III,
,SSTc2dJ160836.2-392302,V1094 Sco,16 08 36.18,-39 23 02.5,2016-05-13,2457522.227447,4x300,4x250,4x100,III,
,Sz108B,,16 08 42.87,-39 06 14.7,2015-06-18,2457191.161119,4x900,4x850,4x960,III,
,2MASS J16085324-3914401,,16 08 53.23,-39 14 40.3,2015-07-12,2457215.136035,2x450,2x400,2x480,III,
,2MASS J16085373-3914367,,16 08 53.73,-39 14 36.7,2015-05-23,2457165.287007,4x900,4x850,4x960,III,1
,2MASS J16085529-3848481,,16 08 55.29,-38 48 48.1,2015-07-12,2457215.156936,2x900,2x850,2x960,III,
,SSTc2dJ160927.0-383628,,16 09 26.98,-38 36 27.6,2015-07-13,2457216.022778,2x900,2x850,2x960,III,
,Sz117,,16 09 44.34,-39 13 30.3,2015-07-13,2457216.068820,2x360,2x310,2x360,III,
,Sz118,,16 09 48.64,-39 11 16.9,2015-07-13,2457216.097061,2x450,2x400,2x480,III,
,2MASS J16100133-3906449,,16 10 01.32,-39 06 44.9,2015-07-13,2457216.122794,2x900,2x850,2x960,III,
,SSTc2dJ161018.6-383613,,16 10 18.56,-38 36 13.0,2015-08-18,2457252.041176,2x900,2x850,2x960,III,
,SSTc2dJ161019.8-383607,,16 10 19.84,-38 36 06.8,2015-08-08,2457242.086534,2x900,2x850,2x960,III,
,SSTc2dJ161029.6-392215,,16 10 29.57,-39 22 14.7,2015-08-13,2457247.090628,2x900,2x850,2x960,III,
,SSTc2dJ161243.8-381503,,16 12 43.75,-38 15 03.3,2015-07-10,2457213.174667,2x300,2x250,2x300,III,
,SSTc2dJ161344.1-373646,,16 13 44.11,-37 36 46.4,2015-06-26,2457199.974706,2x900,2x850,2x960,III,
T,Sz75/GQ Lup,,15 49 12.10,-35 39 05.1,2010-05-05,2455321.270673,2x400,4x160,6x240,I,2
T,Sz76,,15 49 30.74,-35 49 51.4,2014-04-28,2456775.245961,2x478,2x280,2x26,I,3
T,Sz77,,15 51 46.95,-35 56 44.1,2010-05-05,2455321.376758,2x400,4x320,6x240,I,2
T,RXJ1556.1-3655,,15 56 02.09,-36 55 28.3,2014-04-28,2456775.268274,2x478,2x280,2x26,II,3
T,Sz82/IM Lup,,15 56 09.18,-37 56 06.1,2010-05-04,2455320.065259,2x300,2x120,2x200,II,2
T,EX Lup,,16 03 05.49,-40 18 25.4,2010-05-04,2455320.165145,3x300,4x120,6x200,III,2
